date,close
2020-08-25,181.5
2020-08-26,184.3
2020-08-27,186.0
2020-08-28,194.5
2020-08-31,196.7
2020-09-01,196.1
2020-09-02,184.8
2020-09-03,180.0
2020-09-04,179.6
2020-09-07,180.3
2020-09-08,176.0
2020-09-09,180.5
2020-09-10,176.7
2020-09-11,179.1
2020-09-14,183.2
2020-09-15,184.6
2020-09-16,185.3
2020-09-17,186.0
2020-09-18,181.0
2020-09-23,182.7
2020-09-24,186.8
2020-09-25,189.0
2020-09-28,186.5
2020-09-29,184.0
2020-09-30,185.5
2020-10-01,183.9
2020-10-02,187.0
2020-10-05,189.6
2020-10-06,188.1
2020-10-07,191.4
2020-10-08,194.7
2020-10-09,198.5
2020-10-12,200.2
2020-10-13,202.1
2020-10-14,197.3
2020-10-15,200.6
2020-10-16,204.1
2020-10-19,207.5
2020-10-20,217.4
2020-10-21,219.8
2020-10-22,232.1
2020-10-23,250.4
2020-10-26,254.2
2020-10-27,274.3
2020-10-28,262.0
2020-10-29,250.2
2020-10-30,230.2
2020-11-02,210.2
2020-11-04,216.3
2020-11-05,222.3
2020-11-06,215.4
2020-11-09,210.6
2020-11-10,219.9
2020-11-11,232.5
2020-11-12,235.6
2020-11-13,238.3
2020-11-16,230.2
2020-11-17,222.7
2020-11-18,224.0
2020-11-19,226.8
2020-11-20,234.8
2020-11-24,238.0
2020-11-25,236.0
2020-11-26,245.7
2020-11-27,250.1
2020-11-30,249.1
2020-12-01,257.7
2020-12-02,266.0
2020-12-03,255.1
2020-12-04,247.1
2020-12-07,241.4
2020-12-08,234.2
2020-12-09,233.2
2020-12-10,229.9
2020-12-11,239.9
2020-12-14,244.0
2020-12-15,240.5
2020-12-16,244.0
2020-12-17,246.2
2020-12-18,248.2
2020-12-21,231.2
2020-12-22,230.0
2020-12-23,234.9
2020-12-24,235.0
2020-12-25,227.1
2020-12-28,230.8
2020-12-29,226.9
2020-12-30,240.4
2021-01-04,239.1
2021-01-05,238.0
2021-01-06,245.0
2021-01-07,245.9
2021-01-08,237.7
2021-01-12,239.2
2021-01-13,238.4
2021-01-14,243.1
2021-01-15,244.2
2021-01-18,236.9
2021-01-19,238.1
2021-01-20,241.9
2021-01-21,238.0
2021-01-22,230.0
2021-01-25,224.1
2021-01-26,229.3
2021-01-27,227.4
2021-01-28,236.0
2021-01-29,236.0
2021-02-01,232.3
2021-02-02,229.1
2021-02-03,233.7
2021-02-04,239.5
2021-02-05,243.2
2021-02-08,244.9
2021-02-09,243.1
2021-02-10,238.5
2021-02-12,252.7
2021-02-15,252.0
2021-02-16,259.6
2021-02-17,257.8
2021-02-18,265.0
2021-02-19,276.3
2021-02-22,274.1
2021-02-24,290.0
2021-02-25,275.9
2021-02-26,266.5
2021-03-01,260.1
2021-03-02,261.0
2021-03-03,266.9
2021-03-04,269.9
2021-03-05,270.9
2021-03-08,272.9
2021-03-09,273.1
2021-03-10,274.7
2021-03-11,276.0
2021-03-12,272.4
2021-03-15,273.8
2021-03-16,272.8
2021-03-17,271.2
2021-03-18,261.0
2021-03-19,264.0
2021-03-22,262.0
2021-03-23,257.3
2021-03-24,252.7
2021-03-25,248.0
2021-03-26,250.0
2021-03-29,248.1
2021-03-30,241.7
2021-03-31,245.4
2021-04-01,251.5
2021-04-02,250.7
2021-04-05,247.6
2021-04-06,247.9
2021-04-07,244.7
2021-04-08,234.8
2021-04-09,226.5
2021-04-12,224.6
