iter	Passed	Remaining
679	31693	14914
680	31735	14865
681	31776	14816
682	31812	14764
683	31845	14712
684	31884	14662
685	31928	14614
686	31950	14556
687	31983	14504
688	32015	14451
689	32055	14401
690	32112	14359
691	32155	14311
692	32177	14254
693	32209	14201
694	32244	14150
695	32283	14100
696	32329	14054
697	32368	14004
698	32394	13949
699	32435	13900
700	32480	13854
701	32512	13801
702	32544	13749
703	32593	13704
704	32633	13655
705	32674	13606
706	32702	13552
707	32736	13501
708	32780	13454
709	32811	13401
710	32837	13347
711	32869	13295
712	32898	13242
713	32933	13191
714	32966	13140
715	32994	13087
716	33024	13034
717	33064	12986
718	33102	12937
719	33132	12884
720	33159	12831
721	33185	12777
722	33220	12727
723	33248	12674
724	33290	12627
725	33317	12574
726	33343	12521
727	33380	12471
728	33416	12422
729	33445	12370
730	33473	12317
731	33492	12262
732	33525	12211
733	33561	12162
734	33590	12110
735	33616	12058
736	33644	12006
737	33678	11956
738	33713	11907
739	33752	11858
740	33781	11807
741	33812	11757
742	33845	11706
743	33877	11656
744	33925	11612
745	33968	11565
746	34010	11518
747	34035	11466
748	34064	11415
749	34092	11364
750	34126	11315
751	34163	11266
752	34202	11219
753	34230	11168
754	34256	11116
755	34293	11068
756	34332	11020
757	34380	10976
758	34413	10927
759	34464	10883
760	34490	10831
761	34514	10780
762	34554	10733
763	34602	10688
764	34639	10640
765	34663	10589
766	34699	10541
767	34747	10496
768	34784	10448
769	34816	10399
770	34853	10351
771	34882	10302
772	34921	10254
773	34948	10204
	32937	9074
784	32967	9029
785	32998	8984
786	33030	8939
787	33057	8893
788	33099	8851
789	33137	8808
790	33165	8762
791	33190	8716
792	33215	8670
793	33254	8627
794	33278	8581
795	33317	8538
796	33353	8495
797	33378	8449
798	33418	8406
799	33453	8363
800	33494	8321
801	33529	8277
802	33561	8233
803	33606	8192
804	33633	8147
805	33664	8102
806	33706	8061
807	33752	8020
808	33785	7976
809	33828	7935
810	33865	7892
811	33910	7851
812	33952	7809
813	33985	7765
814	34011	7720
815	34059	7680
816	34087	7635
817	34123	7592
818	34152	7547
819	34183	7503
820	34229	7462
821	34244	7415
822	34282	7372
823	34314	7329
824	34358	7288
825	34384	7243
826	34415	7199
827	34457	7157
828	34492	7114
829	34512	7068
830	34551	7026
831	34606	6987
832	34647	6946
833	34662	6899
834	34690	6855
835	34727	6812
836	34751	6767
837	34785	6724
838	34824	6682
839	34850	6638
17	5474
844	29646	5438
845	29678	5402
846	29711	5367
847	29731	5329
848	29771	5294
849	29801	5259
850	29847	5225
851	29871	5188
852	29904	5153
853	29939	5118
854	29976	5083
855	30021	5050
856	30056	5015
857	30095	4980
858	30124	4944
859	30158	4909
860	30193	4874
861	30221	4838
862	30249	4802
863	30275	4765
864	30320	4732
865	30364	4698
866	30408	4664
867	30457	4631
868	30494	4596
869	30523	4560
870	30558	4525
871	30602	4492
872	30630	4455
873	30670	4421
874	30714	4387
875	30758	4353
876	30783	4317
877	30819	4282
878	30845	4246
879	30886	4211
880	30921	4176
881	30962	4142
882	30979	4104
883	31011	4069
884	31052	4035
885	31090	4000
886	31112	3963
887	31143	3927
888	31185	3893
889	31219	3858
890	31245	3822
891	31276	3786
892	31288	3748
893	31335	3715
894	31375	3680
895	31413	3646
896	31446	3610
897	31491	3576
898	31540	3543
899	31576	3508
900	31602	3472
901	31626	3436
902	31655	3400
903	31690	3365
904	31719	3329
905	31746	3293
906	31772	3257
907	31789	3220
908	31812	3184
909	31850	3150
910	31879	3114
911	31911	3079
912	31952	3044
913	31995	3010
914	32027	2975
915	32084	2942
916	32113	2906
917	32155	2872
918	32183	2836
919	32209	2800
920	32244	2765
921	32279	2730
922	32325	2696
923	32349	2660
924	32380	2625
925	32400	2589
926	32429	2553
927	32467	2518
928	32506	2484
929	32546	2449
930	32584	2414
931	32627	2380
932	32662	2345
933	32702	2310
934	32737	2275
935	32773	2240
936	32797	2205
937	32836	2170
938	32851	2134
939	32891	2099
940	32941	2065
941	32968	2029
942	33006	1995
943	33044	1960
944	33078	1925
945	33113	1890
946	33162	1855
947	33200	1821
948	33228	1785
949	33255	1750
950	33290	1715
951	33322	1680
952	33355	1645
953	33392	1610
954	33429	1575
955	33465	1540
956	33499	1505
957	33546	1470
958	33578	1435
959	33600	1400
960	33636	1365
961	33666	1329
962	33701	1294
963	33736	1259
964	33773	1224
965	33806	1189
966	33826	1154
967	33854	1119
968	33889	1084
969	33926	1049
970	33947	1013
971	33969	978
972	34002	943
973	34037	908
974	34074	873
975	34094	838
976	34121	803
977	34163	768
978	34205	733
979	34244	698
980	34278	663
981	34315	628
982	34336	593
983	34374	558
984	34405	523
985	34435	488
986	34479	454
987	34512	419
988	34544	384
989	34574	349
990	34618	314
991	34648	279
992	34669	244
993	34715	209
994	34754	174
995	34792	139
996	34822	104
997	34879	69
998	34918	34
999	34940	0
